,usertoken,date,condition,account_index,tweet_index,familiarity,favorability,familiarity_number,favorability_number,condition_person,condition_accAlias,condition_personCluster,condition_showImage,biasChoice,biasCI,time,condition_imageIdx
0,hZ9d7Zk9,10/06/20,noImage,0,0,Extremely familiar,Slightly negative,2,-1,Kim Jong-un,P,132,False,0.5019325935774256,0.011595547309833032,1602005313051.0,
1,hZ9d7Zk9,10/06/20,noImage,0,1,Extremely familiar,Slightly negative,2,-1,Kim Jong-un,P,132,False,0.5009798038339887,0.13717421124828522,1602005339202.0,
2,hZ9d7Zk9,10/06/20,noImage,0,2,Extremely familiar,Slightly negative,2,-1,Kim Jong-un,P,132,False,0.4990201722447274,0.039192631785224474,1602005353811.0,
3,hZ9d7Zk9,10/06/20,noImage,0,3,Extremely familiar,Slightly negative,2,-1,Kim Jong-un,P,132,False,0.4990201722447274,0.04311189496374679,1602005361571.0,
4,hZ9d7Zk9,10/06/20,noImage,0,4,Extremely familiar,Slightly negative,2,-1,Kim Jong-un,P,132,False,0.5029394354232498,0.3409758965314522,1602005386546.0,
5,hZ9d7Zk9,10/06/20,noImage,1,0,Extremely familiar,Slightly Positive,2,1,Hillary Clinton,L,100,False,0.5024495275259345,0.22731726435430155,1602005465473.0,
6,hZ9d7Zk9,10/06/20,noImage,1,1,Extremely familiar,Slightly Positive,2,1,Hillary Clinton,L,100,False,0.5989613832970496,0.18812463256907708,1602005481698.0,
7,hZ9d7Zk9,10/06/20,noImage,1,2,Extremely familiar,Slightly Positive,2,1,Hillary Clinton,L,100,False,0.8164804897050449,0.31354105428179513,1602005493209.0,
8,hZ9d7Zk9,10/06/20,noImage,1,3,Extremely familiar,Slightly Positive,2,1,Hillary Clinton,L,100,False,0.808641963348,0.32921810699588483,1602005503089.0,
9,hZ9d7Zk9,10/06/20,noImage,1,4,Extremely familiar,Slightly Positive,2,1,Hillary Clinton,L,100,False,0.8047227001694776,0.30178326474622774,1602005510889.0,
10,hZ9d7Zk9,10/06/20,noImage,1,5,Extremely familiar,Slightly Positive,2,1,Hillary Clinton,L,100,False,0.8184401212943061,0.20380168528316678,1602005517417.0,
11,hZ9d7Zk9,10/06/20,noImage,2,0,Extremely familiar,Neutral,2,0,Theresa May,K,122,False,0.586713685864167,0.08230452674897126,1602005614321.0,
12,hZ9d7Zk9,10/06/20,noImage,2,1,Extremely familiar,Neutral,2,0,Theresa May,K,122,False,0.5048990670125111,0.1450127376053303,1602005622225.0,
13,hZ9d7Zk9,10/06/20,noImage,2,2,Extremely familiar,Neutral,2,0,Theresa May,K,122,False,0.5029394354232498,0.03527336860670188,1602005629513.0,
14,hZ9d7Zk9,10/06/20,noImage,2,3,Extremely familiar,Neutral,2,0,Theresa May,K,122,False,0.5048990670125111,0.054869684499314175,1602005641320.0,
15,hZ9d7Zk9,10/06/20,noImage,2,4,Extremely familiar,Neutral,2,0,Theresa May,K,122,False,0.5029394354232498,0.03527336860670188,1602005647784.0,
16,hZ9d7Zk9,10/06/20,noImage,2,5,Extremely familiar,Neutral,2,0,Theresa May,K,122,False,0.5009798038339887,0.02351557907113455,1602005655048.0,
17,hZ9d7Zk9,10/06/20,noImage,3,0,Extremely familiar,Very negative,2,-2,Donald Trump,I,129,False,0.7454438445943257,0.10973936899862835,1602005701807.0,
18,hZ9d7Zk9,10/06/20,noImage,3,1,Extremely familiar,Very negative,2,-2,Donald Trump,I,129,False,0.8497942267224856,0.26259063296100327,1602005713007.0,
19,hZ9d7Zk9,10/06/20,noImage,3,2,Extremely familiar,Very negative,2,-2,Donald Trump,I,129,False,0.5048990670125111,0.047031158142269325,1602005726728.0,
20,hZ9d7Zk9,10/06/20,noImage,3,3,Extremely familiar,Very negative,2,-2,Donald Trump,I,129,False,0.5029394354232498,0.13325494806976285,1602005737767.0,
21,hZ9d7Zk9,10/06/20,noImage,3,4,Extremely familiar,Very negative,2,-2,Donald Trump,I,129,False,0.5048990670125111,0.06662747403488134,1602005747287.0,
22,hZ9d7Zk9,10/06/20,noImage,4,0,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.5044091591151958,0.19596315892612193,1602005815887.0,
23,hZ9d7Zk9,10/06/20,noImage,4,1,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.5029394354232498,0.03527336860670194,1602005821343.0,
24,hZ9d7Zk9,10/06/20,noImage,4,2,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.5656476462796088,0.2782676856750932,1602005833758.0,
25,hZ9d7Zk9,10/06/20,noImage,4,3,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.4970605406554662,0.003919263178522425,1602005840000.0,
26,hZ9d7Zk9,10/06/20,noImage,4,4,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.6675484889211922,0.12149715853419552,1602005851127.0,
27,hZ9d7Zk9,10/06/20,noImage,4,5,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.4970605406554662,0.03135410542817951,1602005857447.0,
28,hZ9d7Zk9,10/06/20,noImage,4,6,Extremely familiar,Very Positive,2,2,Angela Merkel,N,126,False,0.5009798038339887,0.0156770527140897,1602005865359.0,
29,hZ9d7Zk9,10/06/20,noImage,5,0,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,False,0.7434842130050645,0.18420536939055454,1602005927534.0,
30,hZ9d7Zk9,10/06/20,noImage,5,1,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,False,0.5048990670125111,0.027434842249657088,1602005933710.0,
31,hZ9d7Zk9,10/06/20,noImage,5,2,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,False,0.4990201722447274,0.054869684499314175,1602005947198.0,
32,hZ9d7Zk9,10/06/20,noImage,5,3,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,False,0.575445804225915,0.1175778953556732,1602005956999.0,
33,hZ9d7Zk9,10/06/20,noImage,5,4,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,False,0.5852439621722211,0.17244757985498738,1602005968855.0,
34,hZ9d7Zk9,10/06/20,noImage,6,0,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,False,0.5024495275259345,0.03919263178522431,1602006034406.0,
35,hZ9d7Zk9,10/06/20,noImage,6,1,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,False,0.5558494883333027,0.0470311581422691,1602006046141.0,
36,hZ9d7Zk9,10/06/20,noImage,6,2,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,False,0.5009798038339887,0.0156770527140897,1602006054165.0,
37,hZ9d7Zk9,10/06/20,noImage,6,3,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,False,0.5029394354232498,0.019596315892612237,1602006064964.0,
38,hZ9d7Zk9,10/06/20,noImage,6,4,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,False,0.763570436794992,0.18812463256907708,1602006078070.0,
39,hZ9d7Zk9,10/06/20,noImage,6,5,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,False,0.5048990670125111,0.015677052714089756,1602006085134.0,
40,hZ9d7Zk9,10/06/20,noImage,7,0,Extremely familiar,Slightly negative,2,-1,Emanuel Macron,M,54,False,0.4985302643474121,0.19988242210464446,1602006136702.0,
41,hZ9d7Zk9,10/06/20,noImage,7,1,Extremely familiar,Slightly negative,2,-1,Emanuel Macron,M,54,False,0.49314127747694375,0.0,1602006142734.0,
42,hZ9d7Zk9,10/06/20,noImage,7,2,Extremely familiar,Slightly negative,2,-1,Emanuel Macron,M,54,False,0.5048990670125111,0.003919263178522314,1602006152861.0,
43,hZ9d7Zk9,10/06/20,noImage,7,3,Extremely familiar,Slightly negative,2,-1,Emanuel Macron,M,54,False,0.4990201722447274,0.023515579071134773,1602006159397.0,
44,hZ9d7Zk9,10/06/20,noImage,7,4,Extremely familiar,Slightly negative,2,-1,Emanuel Macron,M,54,False,0.5480109619762579,0.06270821085635903,1602006173316.0,
45,Zi0q4lNj,10/06/20,happy,0,0,Slightly familiar,Neutral,-1,0,Theresa May,K,122,True,0.8531810475044509,0.6792478378569555,1602004838354.0,happy_img_idx
46,Zi0q4lNj,10/06/20,happy,0,1,Slightly familiar,Neutral,-1,0,Theresa May,K,122,True,0.38750637266545124,0.453887418826132,1602004876849.0,happy_img_idx
