,usertoken,date,preq_gender,preq_race,preq_education,preq_age,postq_economic,postq_social,postq_attention1,postq_attention2,exclude,account_index,condition_account,condition_accAlias,condition_block,condition_emotionSort,condition_showImage,count_tweets,sourceComment,credibility_choice,credibility_uncertainty,credibility_time,politicalOrientation_choice,politicalOrientation_uncertainty,politicalOrientation_time,inst_nCredibleNCertain,inst_nCredibleNCertainUncertainty,inst_credibleCertainChoice,inst_credibleCertainUncertainty
0,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,0,InvestWatchBlog,D,TRUE,happy,TRUE,5,,0.144870014,0.234836259,1.60E+12,0.161989038,0.440917091,1.60E+12,,,,
1,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,1,CNNPolitics,G,TRUE,happy,FALSE,5,,0.782282756,0.043133194,1.60E+12,0.003833994,0.057510925,1.60E+12,,,,
2,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,2,nypost,F,TRUE,happy,TRUE,6,,0.418046898,0.201288237,1.60E+12,-0.08722497,0.50801317,1.60E+12,,,,
3,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,3,veteranstoday,A,TRUE,happy,TRUE,6,,0.717582966,0.220458546,1.60E+12,-0.197454243,0.50801317,1.60E+12,,,,
4,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,4,Jerusalem_Post,H,TRUE,happy,FALSE,7,,0.444406072,0.19649566,1.60E+12,-0.633578757,0.354650667,1.60E+12,,,,
5,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,5,MotherJones,E,TRUE,happy,TRUE,7,,0.535465037,0.067096079,1.60E+12,-0.307683516,0.249214008,1.60E+12,,,,
6,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,6,opednews,C,TRUE,happy,FALSE,7,,0.61214627,0.095851542,1.60E+12,-0.528142061,0.249214008,1.60E+12,,,,
7,8tmQqPZW,9/8/20,Male,White/Caucasian/European,Undergraduate,52,Moderate,Slightly liberal,"I would contact the company I was going to interview with and ask them what they would prefer me to do, including a possible interview by a video interface.",I would seek out an employee of the store and ask for assistance so that I can check out.,0,7,amlookout,B,TRUE,happy,FALSE,7,,0.722375543,0.249214008,1.60E+12,0.415995623,0.642205329,1.60E+12,,,,
8,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,0,nypost,F,FALSE,mixed,TRUE,6,TO MAKE A DECISION EASY,0.674948906,0.210874726,1.60E+12,-0.59903849,0.220459941,1.60E+12,0.052168767,0.008160934,,
9,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,1,Jerusalem_Post,H,FALSE,mixed,FALSE,5,TO TAKE DECISION OF MY POLITICAL KNOWLEDGE,0.504811343,0.234837763,1.60E+12,0.55597993,0.373823377,1.60E+12,0.052168767,0.008160934,,
