usertoken,date,inst_credibleCertainChoice,inst_credibleCertainUncertainty,inst_nCredibleNCertain,inst_nCredibleNCertainUncertainty,preq_gender,preq_race,preq_education,preq_age,postq_economic,postq_social,postq_emotions_Upset,postq_emotions_Inspired,postq_emotions_Determined,postq_emotions_Active,postq_emotions_Hostile,postq_emotions_Attentive,postq_emotions_Afraid,postq_emotions_Nervous,postq_emotions_Ashamed,postq_emotions_Alert,account_index,condition_account,condition_accAlias,condition_block,condition_emotionSort,condition_showImage,count_tweets,sourceComment,credibility_choice,credibility_uncertainty,credibility_time,politicalOrientation_choice,politicalOrientation_uncertainty,politicalOrientation_time
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,0,MotherJones,E,TRUE,angry,FALSE,6,I have  been compare  all the  tweets  and then took  decision ,0.797160395,0.392993807,1.59923E+12,0.742891619,0.746029279,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,1,amlookout,B,TRUE,angry,TRUE,7,All tweets  are  almost  same information shows. ,0.622230225,0.670965073,1.59923E+12,0.172571338,1.62948659,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,2,nypost,F,TRUE,angry,FALSE,7,After  comparing  all tweets  information i took  this  decision ,0.538359595,0.546357281,1.59923E+12,0.119852657,1.437782294,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,3,CNNPolitics,G,TRUE,angry,TRUE,6,Tweets are almost same .,0.512000254,0.392993807,1.59923E+12,0.162986123,1.255663213,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,4,opednews,C,TRUE,angry,TRUE,8,After  researching  all other tweets.,0.46407418,0.306726874,1.59923E+12,0.148608301,0.642209392,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,5,InvestWatchBlog,D,TRUE,angry,FALSE,9,Some time  the  information is  not  matched  with other  tweets. ,0.356240514,0.254008229,1.59923E+12,-0.450467661,0.766817184,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,6,veteranstoday,A,TRUE,angry,FALSE,6,Most  of  the  tweets  was almost  same  information. ,0.603059795,0.627831606,1.59923E+12,0.330727382,0.958521481,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,7,Jerusalem_Post,H,TRUE,angry,TRUE,8,Comparing  all other tweets  i took  this  decision.  ,0.773197358,0.231632703,1.59923E+12,0.431372138,0.554324946,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,0,MotherJones,E,TRUE,happy,FALSE,48,I am describe the tweets are political orientation and then race oriented.,0.919371884,0.622230225,1.59923E+12,0.637454256,0.680550251,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,1,opednews,C,TRUE,happy,TRUE,35, I am make decision about the tweets are political oriented.,0.91697558,0.789971484,1.59923E+12,-0.632586742,0.364238163,1.59923E+12
