"","X","usertoken","date","inst_credibleCertainChoice","inst_credibleCertainUncertainty","inst_nCredibleNCertain","inst_nCredibleNCertainUncertainty","preq_gender","preq_race","preq_education","preq_age","postq_economic","postq_social","postq_attention1","postq_attention2","account_index","condition_account","condition_accAlias","condition_block","condition_emotionSort","condition_showImage","condition_credibleLabel","condition_politicalLabel","count_tweets","sourceComment","credibility_choice","credibility_uncertainty","credibility_time","politicalOrientation_choice","politicalOrientation_uncertainty","politicalOrientation_time","credibility_choice_binary","accuracy","condition_showImage_cat","condition_emotion"
"1",8,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",0,"veteranstoday","A","True","happy","False",0,"left",15,"The tweets seems like news article titles; however, the comment about feminism and the New World Order seemed heavily politicized and I can't figure out the context. I believe they either lean moderately left or FAR right. (No in between lol)",0.501216887599315,0.517601599532721,1599774041167,-0.055077513638338,1.09271448790241,1599774058027,1,"False","without image","happy"
"2",9,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",1,"nypost","F","True","happy","True",1,"right",17,"It seems to be a celebrity tabloid account. I honestly think it is a parody of a tabloid account.",0.381401702522297,0.469675525501913,1599774311060,-0.174892698715357,0.460090310695752,1599774315426,0,"False","with image","happy"
"3",10,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",2,"MotherJones","E","True","happy","True",1,"left",7,"They were so anti-Trump and a realist about American culture-- giving me CNN vibes",0.71928052443949,0.369030770037218,1599774934157,-0.654153475588124,0.791559049463078,1599774937556,1,"True","with image","happy"
"4",11,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",3,"CNNPolitics","G","True","happy","False",1,"left",8,"They were very anti- Trump and enforced the democratic ideals.",0.410157346940781,0.340275125618733,1599775026780,-0.706872157022012,0.479260740308074,1599775030822,0,"False","without image","happy"
"5",12,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",4,"opednews","C","True","happy","True",0,"left",9,"This has to be Fox news... they say Obama is the ""Twitter Rockstar""??? Have they met Trump??",0.12020458077205,0.316701502580707,1599775137997,0.774043567094631,0.412164236664944,1599775136510,0,"True","with image","happy"
"6",13,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",5,"Jerusalem_Post","H","True","happy","False",1,"right",8,"I think this is a UK conservative site and I am trying to affiliate it with a news source and I can't find it.",0.220849336236745,0.335482554780345,1599775221464,0.678191419033016,1.32353847120504,1599775219584,0,"False","without image","happy"
"7",14,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",6,"amlookout","B","True","happy","True",0,"right",7,"They are still hung up about Hillary's emails.. definitely Fox News-level conspiracy theory",0.18490478071364,0.426931472851564,1599775550644,0.951370041008619,1.26602718236807,1599775547465,0,"True","with image","happy"
"8",15,"yzE74Ra0","09/10/20",0.965532526239619,0.0522844272844272,0.0545768970995183,0.33610842863105,"Female","White/Caucasian/European","Undergraduate",20,"Moderate","Slightly liberal","I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",7,"InvestWatchBlog","D","True","happy","False",0,"right",6,"They are also people they lack the ability to think critically about the news around them. Saying ""liberals"" and provoking an ""us vs them"" perspective",0.105826758562807,0.280756928775255,1599775623497,0.970540470620942,0.0479260740308076,1599775625706,0,"True","without image","happy"
"9",16,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",0,"opednews","C","False","mixed","False",0,"left",12,"The account uses word choices like ""shaft"", and ""fight"" in reference to an opposing side (the right based on the references to trump). ",0.428129624702334,0.167741259107826,1599774271784,-0.637379349677341,0.134193007286261,1599774280046,0,"True","without image","mixed"
"10",17,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",1,"amlookout","B","False","mixed","True",0,"right",5,"The source cites far-right spokespeople and figures. Uses word choice like ""worst"" in reference to left. Says ""some people"" not specifying much revealing it to be an Op-ed. ",0.296332902835267,0.0383408957893386,1599774578718,0.747684226377687,0.0479260740308076,1599774588382,0,"True","with image","mixed"
"11",18,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",2,"Jerusalem_Post","H","False","mixed","True",1,"right",6,"The account seems to have investment in the Isreal issue. ",0.384996158074607,0.301934266394087,1599774970923,0.119852656574109,1.38027100521664,1599774986915,0,"False","with image","mixed"
"12",19,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",3,"nypost","F","False","mixed","False",1,"right",15,"The account seems to be pop-journalism. Which may report rumors or hearsay. ",0.382599854373067,0.479260776872767,1599775279112,-0.0287181729213939,0.517601599532721,1599775256765,0,"False","without image","mixed"
"13",20,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",4,"MotherJones","E","False","mixed","True",1,"left",7,"The account is left leaning. Confirmation biases and reports frequently about negatives in right political figures.",0.473659395031601,0.488845991678929,1599775431772,-0.661342386692745,0.421749451471106,1599775421306,0,"False","with image","mixed"
"14",21,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",5,"InvestWatchBlog","D","False","mixed","False",0,"right",9,"Using blunt language and is very confrontational to left. Very unprofessional word choice. Lots of Mud-slinging.  ",0.0039838512473416,0,1599775692243,0.982521989128644,0.0095852148061617,1599775698839,0,"True","without image","mixed"
"15",22,"vgmKi6jP","09/10/20",0.902946111976616,0.0367242012486229,0.933549613017135,0.856020743714487,"Male","White/Caucasian/European","High School",20,"Slightly Conservative","Slightly liberal","Wait to see if symptoms improve. Seek medical advice from professional, and work with employer to reschedule the interview if necessary. ","See if there is a self-checkout option first, and if there is not I would wait for a cashier to return to the counter. If the cashier did not show up I would try to find another employee to assist me. ",6,"veteranstoday","A","False","mixed","True",0,"left",14,"Frequently reports with pro-Israel attitudes. Word choice of to ""rally"" behind the president. Seems right winged.",0.327484869237638,0.119815221641711,1599775983654,0.522431678432892,0.115022577673938,1599775985875,0,"True","with image","mixed"
