,usertoken,date,inst_credibleCertainChoice,inst_credibleCertainUncertainty,inst_nCredibleNCertain,inst_nCredibleNCertainUncertainty,preq_gender,preq_race,preq_education,preq_age,postq_economic,postq_social,postq_attention1,postq_attention2,account_index,condition_account,condition_accAlias,condition_block,condition_emotionSort,condition_showImage,condition_credibleLabel,condition_politicalLabel,count_tweets,sourceComment,credibility_choice,credibility_uncertainty,credibility_time,politicalOrientation_choice,politicalOrientation_uncertainty,politicalOrientation_time,credibility_choice_binary,accuracy,condition_showImage_cat
0,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",0,CNNPolitics,G,True,angry,True,1,left,5,,0.24481237325214916,0.25400819236327965,1599773722216.0,0.6350579524052897,0.3929938070526213,1599773727835.0,0,False,with image
1,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",1,amlookout,B,True,angry,False,0,right,5,,0.13458240298129195,0.06709650364313047,1599773782119.0,0.9849182928301843,1.8986513595747307,1599773787353.0,0,True,without image
2,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",2,veteranstoday,A,True,angry,False,0,left,7,,0.25439758805831064,0.20128954749408412,1599773850682.0,-0.0023588322044498233,0.4984311699203975,1599773854278.0,0,True,without image
3,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",3,Jerusalem_Post,H,True,angry,True,1,right,7,,0.4365166876577254,0.3115195177649412,1599773925995.0,0.10307853066332662,0.43133466627726724,1599773929071.0,0,False,with image
4,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",4,nypost,F,True,angry,False,1,right,6,,0.5155947098085577,0.24442297755711806,1599774006163.0,-0.21802616534308333,1.2652484275427032,1599774000050.0,1,True,without image
5,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",5,MotherJones,E,True,angry,False,1,left,6,,0.4484982061654273,0.4792607768727674,1599774066223.0,-0.3809748170478287,0.4409198810834286,1599774061713.0,0,False,without image
6,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",6,opednews,C,True,angry,True,0,left,7,,0.41734625804540243,0.2492155849601988,1599774133216.0,-0.4720343942710557,0.8243285464592739,1599774130514.0,0,True,with image
7,MFBfaMCt,09/10/20,0.9965185060852726,0.9778260438206808,0.010491148367836807,0.9918453905191247,Female,White/Caucasian/European,High School,20,Slightly Conservative,Moderate,"Call the employer and tell them about my current situation, (especially in times of the Coronavirus), and reschedule for another day.","Stand and wait for the cashier to come to the front, after 5-10 minutes try to find the cashier/ask another employee to check you out. If all else fails call the store to see if the ringing phone with bring them to the front.",7,InvestWatchBlog,D,True,angry,True,0,right,7,,0.23043455104290692,0.25880083633105305,1599774188698.0,-0.3330487430170214,0.575112961499075,1599774186605.0,0,True,with image
8,yzE74Ra0,09/10/20,0.9655325262396186,0.05228442728442717,0.054576897099518254,0.3361084286310498,Female,White/Caucasian/European,Undergraduate,20,Moderate,Slightly liberal,"I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",0,veteranstoday,A,True,happy,False,0,left,15,"The tweets seems like news article titles; however, the comment about feminism and the New World Order seemed heavily politicized and I can't figure out the context. I believe they either lean moderately left or FAR right. (No in between lol)",0.5012168875993155,0.5176015995327208,1599774041167.0,-0.05507751363833796,1.0927144879024104,1599774058027.0,1,False,without image
9,yzE74Ra0,09/10/20,0.9655325262396186,0.05228442728442717,0.054576897099518254,0.3361084286310498,Female,White/Caucasian/European,Undergraduate,20,Moderate,Slightly liberal,"I would notify the company/interviewer and tell them I have have symptoms of corona virus, would like to be proactive and quarantine. I would tell them I would like to reschedule over Zoom as soon as possible. (and get tested)","I would go to the guest services desk or find the closest employee to have them radio for someone to check out. If I were in an extreme hurry, I would put the item back and leave the store. ",1,nypost,F,True,happy,True,1,right,17,It seems to be a celebrity tabloid account. I honestly think it is a parody of a tabloid account.,0.3814017025222968,0.46967552550191327,1599774311060.0,-0.17489269871535656,0.46009031069575157,1599774315426.0,0,False,with image
