,screen_name,happy_img_idx,angry_img_idx,person_name,clean_text,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
28618,therussophile,9614,31962,Donald Trump,"Russia’s putin, others happy as trump win shocks globe",Fake,2,129,0.3,13.5,131.5,-0.107,0.017,-0.088,0.95,0.0,3.88,0.35,1.54,4.4,1.5,0.17,0.29,0.65,1.17,0.0,1.84,0.0,1.32,1.62,0.57,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.4602941870689392,0.4249264597892761,0.11477942019701004,0.042454447597265244,0.5216794610023499,0.4358660578727722,0.16051745414733887,0.07964128255844116,0.031132420524954796,9.252587187802419e-05,0.7070780992507935,0.001102794660255313,0.020435383543372154
28781,infowars,36985,19672,Donald Trump,Happy birthday hillary clinton,Fake,2,129,10.7,20.6,126.8,-0.012,0.025,0.037,0.0,0.0,2.06,1.43,3.61,3.14,1.8,2.66,3.26,2.1,0.51,0.18,0.98,0.44,2.95,0.48,0.82,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1820852905511856,0.8179147243499756,0.0,0.07807166129350662,0.0,0.921928346157074,0.0002295976591994986,1.0048105281157405e-07,4.64078075310681e-05,0.9648928642272949,0.0008302564383484423,0.001240976620465517,0.03275981917977333
17677,Circa,31228,34167,Donald Trump,"""oprah would be a lot of fun."" president trump answers questions about oprah winfrey possibly running against him.",Real,2,129,0.7,17.4,145.3,-0.168,0.253,-0.036,1.11,0.0,0.02,0.0,0.23,1.51,0.7,0.0,0.0,0.0,0.69,0.0,0.0,0.12,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3019753396511078,0.6980246901512146,0.0,0.19684883952140808,0.7108897566795349,0.092261403799057,0.07578318566083908,6.343789573293179e-05,0.10168029367923737,1.900662755360827e-05,0.8063636422157288,1.1864543012052309e-05,0.016078617423772812
27454,SputnikInt,34863,28072,Donald Trump,"#fireandfury: 'take away the emotion, and @realdonaldtrump has very good shot at reelection'",Fake,2,129,5.1,9.3,153.6,-0.141,0.22,-0.05,0.39,0.01,0.76,0.29,0.2,0.83,0.0,0.75,0.0,0.0,1.14,1.17,0.87,0.06,0.0,0.64,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.39098644256591797,0.37159615755081177,0.23741745948791504,0.04419850930571556,0.7850694060325623,0.17073212563991547,0.013168808072805405,1.1467911463114433e-05,0.25272977352142334,0.01408444158732891,0.4986225366592407,0.0007102351519279182,0.22067266702651978
27461,SputnikInt,19372,23465,Donald Trump,"Fire &amp; fury: 'take away the emotion, and #trump has very good shot at reelection'",Fake,2,129,5.1,9.3,153.6,-0.141,0.22,-0.05,0.39,0.01,0.76,0.29,0.2,0.83,0.0,0.75,0.0,0.0,1.14,1.17,0.87,0.06,0.0,0.64,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.39098644256591797,0.37159615755081177,0.23741745948791504,0.04419850930571556,0.7850694060325623,0.17073212563991547,0.013168808072805405,1.1467911463114433e-05,0.25272977352142334,0.01408444158732891,0.4986225366592407,0.0007102351519279182,0.22067266702651978
37833,therussophile,37273,9956,Donald Trump,"Greatest threat to peace in iraq is not isis, it""s trump picking a fight with iran -",Fake,2,129,1.9,31.0,130.8,0.014,0.0,0.001,0.0,0.0,2.6,0.27,0.59,3.06,1.1,0.47,0.11,0.59,1.3,0.33,1.23,0.0,0.75,0.45,1.26,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4297774136066437,0.40283796191215515,0.16738459467887878,0.0,0.0,1.0,0.19292308390140533,0.010739300400018692,0.0074265580624341965,0.0077731008641421795,0.6851363182067871,0.0009719337103888392,0.09502971917390823
29695,therussophile,30576,6686,Donald Trump,Celebrate 100 days of president trump with his biggest lies since taking office!,Fake,2,129,2.6,11.5,155.4,-0.108,-0.076,-0.045,0.0,0.0,0.0,0.39,0.0,0.0,0.73,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.22,0.9,0.23,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31790265440940857,0.6820973753929138,0.0,0.06204317510128021,0.8412260413169861,0.09673074632883072,0.18855327367782593,9.517045691609383e-05,0.06709223985671997,0.01090132538229227,0.716306746006012,0.00016339866851922125,0.016887806355953217
11431,HuffPostPol,170,19620,Donald Trump,"Donald trump thanks 'winning' military, touts 'big fat tax cuts'",Real,2,129,11.4,35.2,155.7,-0.14,-0.002,0.002,1.59,0.77,0.0,0.99,2.0,0.84,0.0,0.0,1.33,1.2,0.08,0.0,1.3,1.65,1.49,1.78,1.42,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27648475766181946,0.7235152721405029,0.0,0.0,1.0,0.0,0.03409901633858681,7.337578011856749e-08,0.11990052461624146,0.003264489583671093,0.0713886171579361,0.0009680385701358318,0.7703791856765747
7162,mashable,17792,16859,Donald Trump,"Donald trump tweets 'happy birthday!' to random lee greenwood, not the country music star.",Real,2,129,-1.4,13.2,130.4,-0.144,0.052,-0.129,1.09,0.0,2.89,0.0,2.39,2.54,0.0,0.1,2.6,0.95,0.0,0.32,1.56,0.04,0.85,1.09,0.74,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46758776903152466,0.5324122905731201,0.0,0.008036188781261444,0.6464571952819824,0.34550654888153076,4.891237495030509e-07,1.3435863532862413e-11,5.262331228550465e-07,0.9999569654464722,9.664158824307378e-07,3.19560022035148e-05,9.18604291655356e-06
11142,business,24036,21879,Donald Trump,Trump says running against oprah would be “a lot of fun”,Real,2,129,19.8,14.7,131.7,-0.246,-0.108,0.069,0.78,0.0,2.66,1.47,1.42,2.39,3.02,0.0,0.0,0.0,2.69,2.98,4.38,0.02,0.44,2.42,0.23,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.460626482963562,0.32340988516807556,0.21596364676952362,0.042002204805612564,0.9457793831825256,0.012218515388667583,1.64926086676509e-10,1.2282987929510435e-18,4.934819344271091e-07,0.9999585151672363,3.22267578667379e-06,5.680139691932595e-10,3.782243584282696e-05
37880,AHTribune,37594,27912,Donald Trump,Great article on @realdonaldtrump's family history.,Fake,2,129,5.1,25.1,140.3,-0.165,0.081,-0.178,0.0,0.93,0.0,1.14,0.0,0.0,0.16,0.0,0.03,0.0,1.0,0.92,0.3,0.2,0.04,1.45,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3830840289592743,0.5829687714576721,0.03394721820950508,0.0028935130685567856,0.0,0.9971065521240234,0.004213765729218721,6.6342988880307985e-09,0.010362773202359676,5.948271791567095e-06,0.025324907153844833,0.0025313871446996927,0.9575612545013428
26517,SputnikInt,30616,10551,Donald Trump,'big step in right direction': #us envoy to @un pleased with efficient budget cuts,Fake,2,129,-5.8,17.0,141.1,0.116,0.293,0.035,0.0,0.0,0.78,0.0,0.88,0.69,0.59,0.44,0.15,0.62,0.3,0.0,0.0,0.0,0.46,1.76,0.32,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.33552759885787964,0.4931779205799103,0.17129452526569366,0.020095692947506905,0.5420500636100769,0.43785420060157776,0.617587149143219,0.0004111661692149937,0.31960418820381165,0.0006174242589622736,0.061074063181877136,0.00028464492061175406,0.0004213608626741916
36664,CRG_CRM,33480,16085,Donald Trump,Trump gives away jerusalem to settle $100m campaign debt,Fake,2,129,18.9,14.1,130.1,-0.217,-0.055,-0.095,0.22,0.0,1.07,0.75,1.18,1.87,1.29,1.12,0.14,0.0,1.34,0.1,1.54,0.0,0.56,0.32,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.598816454410553,0.33760809898376465,0.0635753720998764,0.0,0.946480393409729,0.05351966992020607,1.0626018287496208e-08,2.52255735831014e-13,0.0020885842386633158,0.07697603106498718,0.005171231459826231,2.6956917281495407e-05,0.9157372117042542
